id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
288247,2025-08-29T20:33:55.371966Z,10 ft 6 in.,,2019-12-16 16:39:31+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Male,-80.36042,23.1026,0.5537024608401645,0.02850366950251415,25.392172653981824
288248,2025-08-29T20:33:19.464112Z,8 ft 7 in.,,2017-04-15 16:27:13+00:00,Adult,Blue Shark (Prionace glauca),Male,-70.75984,32.15455,0.08004611730575562,0.006600141525268555,20.87471580505371
288249,2025-08-29T20:36:08.820377Z,5 ft 4 in.,,2018-02-09 10:38:26+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-79.89454,30.23063,0.15136608481407166,0.012599945068359375,24.918487548828125
288250,2025-08-29T20:40:23.632492Z,12 ft 2 in.,,2015-03-25 19:53:57+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-81.00895,30.31214,0.22270843046483316,0.014788627661092905,23.45337073464762
288251,2025-08-29T20:35:28.067644Z,12 ft 2 in.,,2018-01-09 11:22:26+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-80.22478,29.83695,0.3052952289581299,0.017400026321411133,24.7761173248291
288258,2025-08-29T20:35:30.647895Z,13 ft 1 in.,,2020-08-14 14:59:54+00:00,Adult,White Shark (Carcharodon carcharias),Male,-64.21729,44.39384,0.2648587192708591,0.017895683124202283,27.68678718422522
288259,2025-08-29T20:32:41.640326Z,7 ft 6 in.,,2016-07-31 11:37:32+00:00,Juvenile,Tiger Shark (Galeocerdo cuvier),Male,-81.09713,30.44434,0.25933041987458033,0.021259935893853252,22.05904193767948
288260,2025-08-29T20:33:33.456821Z,9 ft 8 in.,,2017-08-12 04:44:57+00:00,Adult,Blue Shark (Prionace glauca),Male,-68.76183,42.18017,0.9309641718864441,0.055299997329711914,20.07564353942871
288262,2025-08-29T20:32:43.013517Z,9 ft 7 in.,,2016-05-05 12:21:35+00:00,Sub-Adult,Tiger Shark (Galeocerdo cuvier),Male,-81.29169,30.85385,0.2742002445449778,0.01797163183687812,24.40144558704319
288264,2025-08-29T20:41:20.130506Z,6 ft 6 in.,,2017-07-14 08:09:40+00:00,Juvenile,Bull Shark (Carcharhinus leucas),Female,-83.52724,28.88637,0.3213682731592484,0.02519531278612255,25.090798121842774
